,time,Vehicles,ID
432,1,23,20151119011
433,2,20,20151119021
434,3,16,20151119031
435,4,18,20151119041
436,5,17,20151119051
437,6,16,20151119061
438,7,17,20151119071
439,8,18,20151119081
440,9,25,20151119091
441,10,31,20151119101
442,11,32,20151119111
443,12,31,20151119121
444,13,29,20151119131
445,14,31,20151119141
446,15,31,20151119151
447,16,30,20151119161
448,17,28,20151119171
449,18,29,20151119181
450,19,36,20151119191
451,20,29,20151119201
452,21,28,20151119211
453,22,30,20151119221
454,23,29,20151119231
455,0,24,20151120001
456,1,20,20151120011
457,2,15,20151120021
458,3,14,20151120031
459,4,13,20151120041
460,5,8,20151120051
461,6,12,20151120061
462,7,14,20151120071
463,8,15,20151120081
464,9,20,20151120091
465,10,26,20151120101
466,11,26,20151120111
467,12,26,20151120121
468,13,21,20151120131
469,14,26,20151120141
470,15,29,20151120151
471,16,20,20151120161
472,17,22,20151120171
473,18,25,20151120181
474,19,27,20151120191
475,20,26,20151120201
476,21,24,20151120211
477,22,25,20151120221
478,23,21,20151120231
479,0,17,20151121001
480,1,16,20151121011
481,2,15,20151121021
482,3,15,20151121031
483,4,15,20151121041
484,5,8,20151121051
485,6,12,20151121061
486,7,13,20151121071
487,8,12,20151121081
488,9,16,20151121091
489,10,18,20151121101
490,11,17,20151121111
491,12,18,20151121121
492,13,15,20151121131
493,14,21,20151121141
494,15,18,20151121151
495,16,17,20151121161
496,17,17,20151121171
497,18,19,20151121181
498,19,22,20151121191
499,20,18,20151121201
500,21,17,20151121211
501,22,22,20151121221
502,23,17,20151121231
503,0,15,20151122001
504,1,15,20151122011
505,2,11,20151122021
506,3,12,20151122031
507,4,11,20151122041
508,5,8,20151122051
509,6,11,20151122061
510,7,9,20151122071
511,8,8,20151122081
512,9,15,20151122091
513,10,18,20151122101
514,11,18,20151122111
515,12,20,20151122121
516,13,20,20151122131
517,14,20,20151122141
518,15,15,20151122151
519,16,16,20151122161
520,17,16,20151122171
521,18,21,20151122181
522,19,27,20151122191
523,20,26,20151122201
524,21,24,20151122211
525,22,20,20151122221
526,23,20,20151122231
527,0,21,20151123001
528,1,14,20151123011
529,2,16,20151123021
530,3,14,20151123031
531,4,11,20151123041
532,5,11,20151123051
533,6,9,20151123061
534,7,12,20151123071
535,8,16,20151123081
536,9,26,20151123091
537,10,33,20151123101
538,11,35,20151123111
539,12,33,20151123121
540,13,32,20151123131
541,14,28,20151123141
542,15,33,20151123151
543,16,27,20151123161
544,17,24,20151123171
545,18,27,20151123181
546,19,29,20151123191
547,20,26,20151123201
548,21,27,20151123211
549,22,28,20151123221
550,23,26,20151123231
551,0,23,20151124001
552,1,19,20151124011
553,2,18,20151124021
554,3,13,20151124031
555,4,12,20151124041
556,5,13,20151124051
557,6,16,20151124061
558,7,17,20151124071
559,8,23,20151124081
560,9,26,20151124091
561,10,29,20151124101
562,11,28,20151124111
563,12,31,20151124121
564,13,23,20151124131
565,14,28,20151124141
566,15,25,20151124151
567,16,24,20151124161
568,17,27,20151124171
569,18,28,20151124181
570,19,24,20151124191
571,20,29,20151124201
572,21,26,20151124211
573,22,25,20151124221
574,23,23,20151124231
575,0,21,20151125001
576,1,16,20151125011
577,2,16,20151125021
578,3,15,20151125031
579,4,11,20151125041
580,5,9,20151125051
581,6,10,20151125061
582,7,14,20151125071
583,8,17,20151125081
584,9,21,20151125091
585,10,28,20151125101
586,11,30,20151125111
587,12,29,20151125121
588,13,26,20151125131
589,14,26,20151125141
590,15,27,20151125151
591,16,26,20151125161
592,17,23,20151125171
593,18,28,20151125181
594,19,31,20151125191
595,20,26,20151125201
596,21,24,20151125211
597,22,24,20151125221
598,23,21,20151125231
599,0,22,20151126001
600,1,16,20151126011
601,2,13,20151126021
602,3,11,20151126031
603,4,13,20151126041
604,5,12,20151126051
605,6,11,20151126061
606,7,13,20151126071
607,8,11,20151126081
608,9,21,20151126091
609,10,32,20151126101
610,11,33,20151126111
611,12,26,20151126121
612,13,25,20151126131
613,14,30,20151126141
614,15,30,20151126151
615,16,28,20151126161
616,17,25,20151126171
617,18,24,20151126181
618,19,29,20151126191
619,20,31,20151126201
620,21,26,20151126211
621,22,28,20151126221
622,23,21,20151126231
623,0,20,20151127001
624,1,19,20151127011
625,2,14,20151127021
626,3,11,20151127031
627,4,9,20151127041
628,5,11,20151127051
629,6,10,20151127061
630,7,9,20151127071
631,8,16,20151127081
632,9,21,20151127091
633,10,33,20151127101
634,11,29,20151127111
635,12,28,20151127121
636,13,26,20151127131
637,14,27,20151127141
638,15,29,20151127151
639,16,26,20151127161
640,17,27,20151127171
641,18,27,20151127181
642,19,30,20151127191
643,20,24,20151127201
644,21,24,20151127211
645,22,24,20151127221
646,23,23,20151127231
647,0,21,20151128001
648,1,13,20151128011
649,2,16,20151128021
650,3,11,20151128031
651,4,10,20151128041
652,5,8,20151128051
653,6,11,20151128061
654,7,10,20151128071
655,8,16,20151128081
656,9,19,20151128091
657,10,21,20151128101
658,11,25,20151128111
659,12,21,20151128121
660,13,18,20151128131
661,14,18,20151128141
662,15,22,20151128151
663,16,18,20151128161
664,17,16,20151128171
665,18,16,20151128181
666,19,26,20151128191
667,20,28,20151128201
668,21,22,20151128211
669,22,22,20151128221
670,23,21,20151128231
671,0,22,20151129001
672,1,17,20151129011
673,2,13,20151129021
674,3,10,20151129031
675,4,12,20151129041
676,5,12,20151129051
677,6,9,20151129061
678,7,13,20151129071
679,8,14,20151129081
680,9,18,20151129091
681,10,20,20151129101
682,11,21,20151129111
683,12,22,20151129121
684,13,17,20151129131
685,14,20,20151129141
686,15,19,20151129151
687,16,20,20151129161
688,17,20,20151129171
689,18,21,20151129181
690,19,20,20151129191
691,20,22,20151129201
692,21,24,20151129211
693,22,21,20151129221
694,23,18,20151129231
695,0,20,20151130001
696,1,13,20151130011
697,2,15,20151130021
698,3,11,20151130031
699,4,12,20151130041
700,5,11,20151130051
701,6,11,20151130061
702,7,13,20151130071
703,8,16,20151130081
704,9,24,20151130091
705,10,35,20151130101
706,11,34,20151130111
707,12,36,20151130121
708,13,27,20151130131
709,14,33,20151130141
710,15,34,20151130151
711,16,28,20151130161
712,17,27,20151130171
713,18,28,20151130181
714,19,29,20151130191
715,20,31,20151130201
716,21,29,20151130211
717,22,26,20151130221
718,23,24,20151130231
719,0,21,20151201001
720,1,20,20151201011
721,2,18,20151201021
722,3,13,20151201031
723,4,14,20151201041
724,5,11,20151201051
725,6,11,20151201061
726,7,12,20151201071
727,8,16,20151201081
728,9,21,20151201091
729,10,30,20151201101
730,11,29,20151201111
731,12,28,20151201121
732,13,31,20151201131
733,14,26,20151201141
734,15,29,20151201151
735,16,25,20151201161
736,17,25,20151201171
737,18,25,20151201181
738,19,27,20151201191
739,20,27,20151201201
740,21,30,20151201211
741,22,24,20151201221
742,23,26,20151201231
743,0,21,20151202001
744,1,19,20151202011
745,2,18,20151202021
746,3,15,20151202031
747,4,17,20151202041
748,5,13,20151202051
749,6,14,20151202061
750,7,16,20151202071
751,8,18,20151202081
752,9,32,20151202091
753,10,39,20151202101
754,11,39,20151202111
755,12,38,20151202121
756,13,33,20151202131
757,14,33,20151202141
758,15,30,20151202151
759,16,29,20151202161
760,17,28,20151202171
761,18,29,20151202181
762,19,32,20151202191
763,20,35,20151202201
764,21,34,20151202211
765,22,31,20151202221
766,23,27,20151202231
767,0,23,20151203001
768,1,22,20151203011
769,2,15,20151203021
770,3,17,20151203031
771,4,13,20151203041
772,5,12,20151203051
773,6,12,20151203061
774,7,15,20151203071
775,8,17,20151203081
776,9,23,20151203091
777,10,30,20151203101
778,11,31,20151203111
779,12,26,20151203121
780,13,24,20151203131
781,14,30,20151203141
782,15,26,20151203151
783,16,24,20151203161
784,17,28,20151203171
785,18,28,20151203181
786,19,31,20151203191
787,20,30,20151203201
788,21,29,20151203211
789,22,28,20151203221
790,23,22,20151203231
791,0,19,20151204001
792,1,19,20151204011
793,2,16,20151204021
794,3,14,20151204031
795,4,15,20151204041
796,5,14,20151204051
797,6,10,20151204061
798,7,11,20151204071
799,8,14,20151204081
800,9,29,20151204091
801,10,31,20151204101
802,11,32,20151204111
803,12,30,20151204121
804,13,25,20151204131
805,14,30,20151204141
806,15,28,20151204151
807,16,27,20151204161
808,17,26,20151204171
809,18,22,20151204181
810,19,28,20151204191
811,20,27,20151204201
812,21,23,20151204211
813,22,27,20151204221
814,23,20,20151204231
815,0,18,20151205001
816,1,19,20151205011
817,2,15,20151205021
818,3,12,20151205031
819,4,15,20151205041
820,5,7,20151205051
821,6,10,20151205061
822,7,11,20151205071
823,8,13,20151205081
824,9,13,20151205091
825,10,19,20151205101
826,11,17,20151205111
827,12,20,20151205121
828,13,15,20151205131
829,14,17,20151205141
830,15,17,20151205151
831,16,16,20151205161
832,17,17,20151205171
833,18,16,20151205181
834,19,21,20151205191
835,20,19,20151205201
836,21,20,20151205211
837,22,20,20151205221
838,23,21,20151205231
839,0,14,20151206001
840,1,14,20151206011
841,2,12,20151206021
842,3,12,20151206031
843,4,10,20151206041
844,5,8,20151206051
845,6,8,20151206061
846,7,12,20151206071
847,8,11,20151206081
848,9,14,20151206091
849,10,17,20151206101
850,11,17,20151206111
851,12,19,20151206121
852,13,17,20151206131
853,14,13,20151206141
854,15,16,20151206151
855,16,10,20151206161
856,17,18,20151206171
857,18,19,20151206181
858,19,20,20151206191
859,20,21,20151206201
860,21,15,20151206211
861,22,21,20151206221
862,23,19,20151206231
863,0,19,20151207001
864,1,15,20151207011
865,2,13,20151207021
866,3,11,20151207031
867,4,10,20151207041
868,5,9,20151207051
869,6,10,20151207061
870,7,13,20151207071
871,8,20,20151207081
872,9,24,20151207091
873,10,26,20151207101
874,11,32,20151207111
875,12,29,20151207121
876,13,25,20151207131
877,14,28,20151207141
878,15,27,20151207151
879,16,22,20151207161
880,17,25,20151207171
881,18,24,20151207181
882,19,34,20151207191
883,20,30,20151207201
884,21,28,20151207211
885,22,26,20151207221
886,23,27,20151207231
887,0,19,20151208001
888,1,20,20151208011
889,2,17,20151208021
890,3,14,20151208031
891,4,15,20151208041
892,5,12,20151208051
893,6,14,20151208061
894,7,11,20151208071
895,8,16,20151208081
896,9,18,20151208091
897,10,23,20151208101
898,11,28,20151208111
899,12,27,20151208121
900,13,23,20151208131
901,14,26,20151208141
902,15,23,20151208151
903,16,25,20151208161
904,17,23,20151208171
905,18,26,20151208181
906,19,24,20151208191
907,20,25,20151208201
908,21,24,20151208211
909,22,23,20151208221
910,23,21,20151208231
911,0,21,20151209001
912,1,20,20151209011
913,2,18,20151209021
914,3,15,20151209031
915,4,10,20151209041
916,5,11,20151209051
917,6,13,20151209061
918,7,13,20151209071
919,8,14,20151209081
920,9,18,20151209091
921,10,20,20151209101
922,11,26,20151209111
923,12,25,20151209121
924,13,39,20151209131
925,14,36,20151209141
926,15,33,20151209151
927,16,26,20151209161
928,17,25,20151209171
929,18,27,20151209181
930,19,27,20151209191
931,20,29,20151209201
932,21,27,20151209211
933,22,28,20151209221
934,23,26,20151209231
935,0,20,20151210001
936,1,14,20151210011
937,2,14,20151210021
938,3,17,20151210031
939,4,11,20151210041
940,5,12,20151210051
941,6,12,20151210061
942,7,14,20151210071
943,8,14,20151210081
944,9,19,20151210091
945,10,28,20151210101
946,11,26,20151210111
947,12,31,20151210121
948,13,23,20151210131
949,14,24,20151210141
950,15,28,20151210151
951,16,26,20151210161
952,17,26,20151210171
953,18,27,20151210181
954,19,22,20151210191
955,20,25,20151210201
956,21,24,20151210211
957,22,23,20151210221
958,23,22,20151210231
959,0,17,20151211001
960,1,19,20151211011
961,2,16,20151211021
962,3,14,20151211031
963,4,13,20151211041
964,5,10,20151211051
965,6,11,20151211061
966,7,13,20151211071
967,8,12,20151211081
968,9,15,20151211091
969,10,26,20151211101
970,11,33,20151211111
971,12,31,20151211121
972,13,26,20151211131
973,14,30,20151211141
974,15,28,20151211151
975,16,29,20151211161
976,17,23,20151211171
977,18,29,20151211181
978,19,26,20151211191
979,20,29,20151211201
980,21,24,20151211211
981,22,22,20151211221
982,23,23,20151211231
983,0,23,20151212001
984,1,16,20151212011
985,2,12,20151212021
986,3,14,20151212031
987,4,13,20151212041
988,5,11,20151212051
989,6,7,20151212061
990,7,10,20151212071
991,8,12,20151212081
992,9,16,20151212091
993,10,20,20151212101
994,11,15,20151212111
995,12,19,20151212121
996,13,16,20151212131
997,14,14,20151212141
998,15,14,20151212151
999,16,15,20151212161
1000,17,17,20151212171
1001,18,18,20151212181
1002,19,17,20151212191
1003,20,15,20151212201
1004,21,18,20151212211
1005,22,16,20151212221
1006,23,19,20151212231
1007,0,16,20151213001
1008,1,15,20151213011
1009,2,9,20151213021
1010,3,12,20151213031
1011,4,8,20151213041
1012,5,9,20151213051
1013,6,9,20151213061
1014,7,11,20151213071
1015,8,14,20151213081
1016,9,13,20151213091
1017,10,15,20151213101
1018,11,16,20151213111
1019,12,15,20151213121
1020,13,18,20151213131
1021,14,15,20151213141
1022,15,17,20151213151
1023,16,16,20151213161
1024,17,16,20151213171
1025,18,16,20151213181
1026,19,20,20151213191
1027,20,19,20151213201
1028,21,17,20151213211
1029,22,21,20151213221
1030,23,18,20151213231
1031,0,16,20151214001
1032,1,16,20151214011
1033,2,9,20151214021
1034,3,12,20151214031
1035,4,12,20151214041
1036,5,12,20151214051
1037,6,9,20151214061
1038,7,13,20151214071
1039,8,16,20151214081
1040,9,18,20151214091
1041,10,31,20151214101
1042,11,37,20151214111
1043,12,31,20151214121
1044,13,30,20151214131
1045,14,31,20151214141
1046,15,32,20151214151
1047,16,27,20151214161
1048,17,26,20151214171
1049,18,31,20151214181
1050,19,32,20151214191
1051,20,30,20151214201
1052,21,30,20151214211
1053,22,25,20151214221
1054,23,24,20151214231
1055,0,20,20151215001
1056,1,17,20151215011
1057,2,13,20151215021
1058,3,16,20151215031
1059,4,12,20151215041
1060,5,13,20151215051
1061,6,12,20151215061
1062,7,16,20151215071
1063,8,13,20151215081
1064,9,18,20151215091
1065,10,21,20151215101
1066,11,47,20151215111
1067,12,42,20151215121
1068,13,30,20151215131
1069,14,34,20151215141
1070,15,31,20151215151
1071,16,30,20151215161
1072,17,29,20151215171
1073,18,33,20151215181
1074,19,31,20151215191
1075,20,30,20151215201
1076,21,32,20151215211
1077,22,30,20151215221
1078,23,25,20151215231
1079,0,25,20151216001
1080,1,22,20151216011
1081,2,19,20151216021
1082,3,18,20151216031
1083,4,15,20151216041
1084,5,14,20151216051
1085,6,14,20151216061
1086,7,14,20151216071
1087,8,17,20151216081
1088,9,25,20151216091
1089,10,39,20151216101
1090,11,36,20151216111
1091,12,35,20151216121
1092,13,30,20151216131
1093,14,38,20151216141
1094,15,30,20151216151
1095,16,29,20151216161
1096,17,29,20151216171
1097,18,31,20151216181
1098,19,33,20151216191
1099,20,33,20151216201
1100,21,28,20151216211
1101,22,34,20151216221
1102,23,24,20151216231
1103,0,26,20151217001
1104,1,20,20151217011
1105,2,16,20151217021
1106,3,17,20151217031
1107,4,14,20151217041
1108,5,12,20151217051
1109,6,11,20151217061
1110,7,16,20151217071
1111,8,15,20151217081
1112,9,20,20151217091
1113,10,31,20151217101
1114,11,37,20151217111
1115,12,38,20151217121
1116,13,29,20151217131
1117,14,32,20151217141
1118,15,34,20151217151
1119,16,33,20151217161
1120,17,26,20151217171
1121,18,31,20151217181
1122,19,35,20151217191
1123,20,30,20151217201
1124,21,33,20151217211
1125,22,31,20151217221
1126,23,26,20151217231
1127,0,24,20151218001
1128,1,20,20151218011
1129,2,17,20151218021
1130,3,13,20151218031
1131,4,16,20151218041
1132,5,15,20151218051
1133,6,13,20151218061
1134,7,15,20151218071
1135,8,16,20151218081
1136,9,22,20151218091
1137,10,37,20151218101
1138,11,42,20151218111
1139,12,43,20151218121
1140,13,40,20151218131
1141,14,44,20151218141
1142,15,44,20151218151
1143,16,39,20151218161
1144,17,29,20151218171
1145,18,41,20151218181
1146,19,39,20151218191
1147,20,35,20151218201
1148,21,30,20151218211
1149,22,31,20151218221
1150,23,28,20151218231
1151,0,24,20151219001
1152,1,25,20151219011
1153,2,18,20151219021
1154,3,14,20151219031
1155,4,13,20151219041
1156,5,11,20151219051
1157,6,11,20151219061
1158,7,14,20151219071
1159,8,17,20151219081
1160,9,15,20151219091
1161,10,24,20151219101
1162,11,24,20151219111
1163,12,21,20151219121
1164,13,20,20151219131
1165,14,20,20151219141
1166,15,16,20151219151
1167,16,19,20151219161
1168,17,17,20151219171
1169,18,19,20151219181
1170,19,20,20151219191
1171,20,19,20151219201
1172,21,18,20151219211
1173,22,21,20151219221
1174,23,20,20151219231
1175,0,15,20151220001
1176,1,14,20151220011
1177,2,14,20151220021
1178,3,11,20151220031
1179,4,9,20151220041
1180,5,6,20151220051
1181,6,11,20151220061
1182,7,10,20151220071
1183,8,11,20151220081
1184,9,16,20151220091
1185,10,20,20151220101
1186,11,18,20151220111
1187,12,23,20151220121
1188,13,19,20151220131
1189,14,19,20151220141
1190,15,17,20151220151
1191,16,19,20151220161
1192,17,16,20151220171
1193,18,18,20151220181
1194,19,28,20151220191
1195,20,24,20151220201
1196,21,26,20151220211
1197,22,22,20151220221
1198,23,23,20151220231
1199,0,18,20151221001
1200,1,16,20151221011
1201,2,12,20151221021
1202,3,11,20151221031
1203,4,9,20151221041
1204,5,9,20151221051
1205,6,10,20151221061
1206,7,15,20151221071
1207,8,14,20151221081
1208,9,21,20151221091
1209,10,24,20151221101
1210,11,39,20151221111
1211,12,43,20151221121
1212,13,34,20151221131
1213,14,35,20151221141
1214,15,31,20151221151
1215,16,31,20151221161
1216,17,31,20151221171
1217,18,28,20151221181
1218,19,36,20151221191
1219,20,30,20151221201
1220,21,28,20151221211
1221,22,26,20151221221
1222,23,23,20151221231
1223,0,23,20151222001
1224,1,20,20151222011
1225,2,19,20151222021
1226,3,13,20151222031
1227,4,14,20151222041
1228,5,14,20151222051
1229,6,13,20151222061
1230,7,15,20151222071
1231,8,15,20151222081
1232,9,22,20151222091
1233,10,27,20151222101
1234,11,27,20151222111
1235,12,34,20151222121
1236,13,31,20151222131
1237,14,29,20151222141
1238,15,31,20151222151
1239,16,23,20151222161
1240,17,26,20151222171
1241,18,30,20151222181
1242,19,32,20151222191
1243,20,32,20151222201
1244,21,23,20151222211
1245,22,28,20151222221
1246,23,25,20151222231
1247,0,19,20151223001
